t,value
1434196164,1.4153122901916504E-4
1434196166,1.4153122901916504E-4
1434196168,1.4153122901916504E-4
1434196170,1.4153122901916504E-4
1434196172,1.4153122901916504E-4
1434196174,0.011353641748428345
1434196176,0.011353641748428345
1434196178,0.011353641748428345
1434196180,0.011353641748428345
1434196182,0.011353641748428345
1434196184,0.011353641748428345
1434196186,0.011353641748428345
1434196188,0.011353641748428345
1434196190,0.011353641748428345
1434196192,0.011353641748428345
1434196194,0.011353641748428345
1434196196,0.011353641748428345
1434196198,0.011353641748428345
1434196200,0.011353641748428345
1434196202,0.011353641748428345
1434196204,0.011353641748428345
1434196206,0.011353641748428345
1434196208,0.011353641748428345
1434196210,0.011353641748428345
1434196212,0.011353641748428345
1434196214,0.011353641748428345
1434196216,0.011353641748428345
1434196218,0.011353641748428345
1434196220,0.011353641748428345
1434196222,0.011353641748428345
1434196224,0.011353641748428345
1434196226,0.011353641748428345
1434196228,0.011353641748428345
1434196230,0.011353641748428345
1434196232,0.011353641748428345
1434196234,0.011353641748428345
1434196236,0.011353641748428345
1434196238,0.011353641748428345
1434196240,0.011353641748428345
1434196242,0.011353641748428345
1434196244,0.011353641748428345
1434196246,0.011353641748428345
1434196248,0.07385370135307312
1434196250,0.07385370135307312
1434196252,0.07385370135307312
1434196254,0.07385370135307312
1434196256,0.07385370135307312
1434196258,0.07385370135307312
1434196260,0.07385370135307312
1434196262,0.07385370135307312
1434196264,0.07385370135307312
1434196266,0.07385370135307312
1434196268,0.07385370135307312
1434196270,0.1363537609577179
1434196272,0.1363537609577179
1434196274,0.1363537609577179
1434196276,0.1363537609577179
1434196278,0.1363537609577179
1434196280,0.1363537609577179
1434196282,0.1363537609577179
1434196284,0.1363537609577179
1434196286,0.1363690197467804
1434196288,0.1363690197467804
1434196290,0.1363690197467804
1434196292,0.1363690197467804
1434196294,0.1363690197467804
1434196296,0.1363690197467804
1434196298,0.1363690197467804
1434196300,0.1363690197467804
1434196302,0.1363690197467804
1434196304,0.1363690197467804
1434196306,0.1363995373249054
1434196308,0.1363995373249054
1434196310,0.1363995373249054
1434196312,0.1363995373249054
1434196314,0.1363995373249054
1434196316,0.1363995373249054
1434196318,0.1363995373249054
1434196320,0.1363995373249054
1434196322,0.1610933244228363
1434196324,0.1610933244228363
1434196326,0.1610933244228363
1434196328,0.1610933244228363
1434196330,0.1610933244228363
1434196332,0.1610933244228363
1434196334,0.1610933244228363
1434196336,0.1610933244228363
1434196338,0.1610933244228363
1434196340,0.17511335015296936
1434196342,0.17511335015296936
1434196344,0.17511335015296936
1434196346,0.17511335015296936
1434196348,0.17511335015296936
1434196350,0.17511335015296936
1434196352,0.17511335015296936
1434196354,0.17511335015296936
1434196356,0.17565354704856873
1434196358,0.17565354704856873
1434196360,0.17565354704856873
1434196362,0.17565354704856873
1434196364,0.17565354704856873
1434196366,0.17565354704856873
1434196368,0.17565354704856873
1434196370,0.17601975798606873
1434196372,0.17601975798606873
1434196374,0.17601975798606873
1434196376,0.17601975798606873
1434196378,0.17601975798606873
1434196380,0.17601975798606873
1434196382,0.17601975798606873
1434196384,0.17601975798606873
1434196386,0.17601975798606873
1434196388,0.17601975798606873
1434196390,0.17638596892356873
1434196392,0.17638596892356873
1434196394,0.17638596892356873
1434196396,0.17638596892356873
1434196398,0.17638596892356873
1434196400,0.17638596892356873
1434196402,0.17638596892356873
1434196404,0.17638596892356873
1434196406,0.17655381560325623
1434196408,0.17655381560325623
1434196410,0.17655381560325623
1434196412,0.17655381560325623
1434196414,0.17655381560325623
1434196416,0.17655381560325623
1434196418,0.17655381560325623
1434196420,0.17675217986106873
1434196422,0.17675217986106873
1434196424,0.17675217986106873
1434196426,0.17675217986106873
1434196428,0.17675217986106873
1434196430,0.17675217986106873
1434196432,0.17675217986106873
1434196434,0.17675217986106873
1434196436,0.17696872353553772
