t,value
1434194906,-1
1434194908,-1
1434194910,-1
1434194912,1434194910082
1434194914,1434194910082
1434194916,1434194915017
1434194918,1434194915017
1434194920,1434194920023
1434194922,1434194920023
1434194924,1434194920023
1434194926,1434194925020
1434194928,1434194925020
1434194930,1434194930016
1434194932,1434194930016
1434194934,1434194930016
1434194936,1434194935019
1434194938,1434194935019
1434194940,1434194940016
1434194942,1434194940016
1434194944,1434194940016
1434194946,1434194945014
1434194948,1434194945014
1434194950,1434194950017
1434194952,1434194950017
1434194954,1434194950017
1434194956,1434194955017
1434194958,1434194955017
1434194960,1434194960014
1434194962,1434194960014
1434194964,1434194960014
1434194966,1434194960014
1434194968,1434194960014
1434194970,1434194960014
1434194972,1434194972029
1434194974,1434194972029
1434194976,1434194975591
1434194978,1434194975591
1434194980,1434194975591
1434194982,1434194980467
1434194984,1434194980467
1434194986,1434194985545
1434194988,1434194985545
1434194990,1434194985545
1434194992,1434194990505
1434194994,1434194990505
1434194996,1434194995423
1434194998,1434194995423
1434195000,1434194995423
1434195002,1434195000480
1434195004,1434195000480
1434195006,1434195005533
1434195008,1434195005533
1434195010,1434195005533
1434195012,1434195010531
1434195014,1434195010531
1434195016,1434195015492
1434195018,1434195015492
1434195020,1434195015492
1434195022,1434195020429
1434195024,1434195020429
1434195026,1434195025559
1434195028,1434195025559
1434195030,1434195025559
1434195032,1434195030484
1434195034,1434195030484
1434195036,1434195035552
1434195038,1434195035552
1434195040,1434195035552
1434195042,1434195040388
1434195044,1434195040388
1434195046,1434195045378
1434195048,1434195045378
1434195050,1434195045378
1434195052,1434195050386
1434195054,1434195050386
1434195056,1434195055387
1434195058,1434195055387
1434195060,1434195055387
1434195062,1434195060407
1434195064,1434195060407
1434195066,1434195065391
1434195068,1434195065391
1434195070,1434195065391
1434195072,1434195070448
1434195074,1434195070448
1434195076,1434195075389
1434195078,1434195075389
1434195080,1434195075389
1434195082,1434195080414
1434195084,1434195080414
1434195086,1434195085404
1434195088,1434195085404
1434195090,1434195085404
1434195092,1434195090413
1434195094,1434195090413
1434195096,1434195095350
1434195098,1434195095350
1434195100,1434195095350
1434195102,1434195100400
1434195104,1434195100400
1434195106,1434195105341
1434195108,1434195105341
1434195110,1434195105341
1434195112,1434195110385
1434195114,1434195110385
1434195116,1434195115420
1434195118,1434195115420
1434195120,1434195115420
1434195122,1434195120351
1434195124,1434195120351
1434195126,1434195125377
1434195128,1434195125377
1434195130,1434195125377
1434195132,1434195130380
1434195134,1434195130380
1434195136,1434195135400
1434195138,1434195135400
1434195140,1434195135400
1434195142,1434195140404
1434195144,1434195140404
1434195146,1434195145396
1434195148,1434195145396
1434195150,1434195145396
1434195152,1434195150369
1434195154,1434195150369
1434195156,1434195155379
1434195158,1434195155379
1434195160,1434195155379
1434195162,1434195160358
1434195164,1434195160358
1434195166,1434195165401
1434195168,1434195165401
1434195170,1434195165401
1434195172,1434195170331
1434195174,1434195170331
1434195176,1434195175374
1434195178,1434195175374
1434195180,1434195175374
1434195182,1434195180357
1434195184,1434195180357
1434195186,1434195185374
1434195188,1434195185374
1434195190,1434195185374
1434195192,1434195190401
1434195194,1434195190401
1434195196,1434195195339
1434195198,1434195195339
1434195200,1434195195339
1434195202,1434195200353
1434195204,1434195200353
1434195206,1434195205365
1434195208,1434195205365
1434195210,1434195205365
1434195212,1434195210333
1434195214,1434195210333
1434195216,1434195215339
1434195218,1434195215339
1434195220,1434195215339
1434195222,1434195220357
1434195224,1434195220357
1434195226,1434195225351
1434195228,1434195225351
1434195230,1434195225351
1434195232,1434195230368
1434195234,1434195230368
1434195236,1434195235381
1434195238,1434195235381
1434195240,1434195235381
1434195242,1434195240362
1434195244,1434195240362
1434195246,1434195245359
1434195248,1434195245359
1434195250,1434195245359
1434195252,1434195250368
1434195254,1434195250368
1434195256,1434195255328
1434195258,1434195255328
1434195260,1434195255328
1434195262,1434195260313
1434195264,1434195260313
1434195266,1434195265348
1434195268,1434195265348
1434195270,1434195265348
1434195272,1434195270325
1434195274,1434195270325
1434195276,1434195275335
1434195278,1434195275335
1434195280,1434195275335
1434195282,1434195280400
1434195284,1434195280400
1434195286,1434195285332
1434195288,1434195285332
1434195290,1434195285332
1434195292,1434195290350
1434195294,1434195290350
1434195296,1434195295394
1434195298,1434195295394
1434195300,1434195295394
1434195302,1434195300315
1434195304,1434195300315
1434195306,1434195305342
1434195308,1434195305342
1434195310,1434195305342
1434195312,1434195310379
1434195314,1434195310379
1434195316,1434195315385
1434195318,1434195315385
1434195320,1434195315385
1434195322,1434195320359
1434195324,1434195320359
1434195326,1434195325344
1434195328,1434195325344
1434195330,1434195325344
1434195332,1434195330323
1434195334,1434195330323
1434195336,1434195335372
1434195338,1434195335372
1434195340,1434195335372
1434195342,1434195340372
1434195344,1434195340372
1434195346,1434195345343
1434195348,1434195345343
1434195350,1434195345343
1434195352,1434195350365
