t,value
1434189319,-1
1434189321,8
1434189323,8
1434189325,1
1434189327,1
1434189329,1
1434189331,1
1434189333,1
1434189335,5
1434189337,5
1434189339,5
1434189341,1
1434189343,1
1434189345,0
1434189347,0
1434189349,0
1434189351,1
1434189353,1
1434189355,1
1434189357,1
1434189359,1
1434189361,1
1434189363,1
1434189365,0
1434189367,0
1434189369,0
1434189371,1
1434189373,1
1434189375,1
1434189377,1
1434189379,1
1434189381,0
1434189383,0
1434189385,1
1434189387,1
1434189389,1
1434189391,1
1434189393,1
1434189395,1
1434189397,1
1434189399,2686
1434189401,0
1434189403,0
1434189405,0
1434189407,1
1434189409,1
1434189411,0
1434189413,0
1434189415,0
1434189417,0
1434189419,0
1434189421,1
1434189423,1
1434189425,1
1434189427,1
1434189429,1
1434189431,0
1434189433,0
1434189435,0
1434189437,1
1434189439,1
1434189441,1
1434189443,1
1434189445,1
1434189447,1
1434189449,1
1434189451,1
1434189453,1
1434189455,1
1434189457,1
1434189459,1
1434189461,1
1434189463,1
1434189465,1
1434189467,1
1434189469,1
1434189471,0
1434189473,0
1434189475,0
1434189477,1
1434189479,1
1434189481,1
1434189483,1
1434189485,1
1434189487,0
1434189489,0
1434189491,0
1434189493,0
1434189495,0
1434189497,0
1434189499,0
1434189501,2
1434189503,2
1434189505,2
1434189507,1
1434189509,1
1434189511,1
1434189513,1
1434189515,0
1434189517,0
1434189519,0
1434189521,0
1434189523,0
1434189525,0
1434189527,0
1434189529,0
1434189531,0
1434189533,0
1434189535,1
1434189537,1
1434189539,1
1434189541,2
1434189543,2
1434189545,1
1434189547,1
1434189549,1
1434189551,0
1434189553,0
1434189555,0
1434189557,0
1434189559,0
1434189561,0
1434189563,0
1434189565,1
1434189567,1
1434189569,1
1434189571,4
1434189573,4
1434189575,4
1434189577,0
1434189579,0
1434189581,0
1434189583,0
1434189585,1
1434189587,1
1434189589,1
1434189591,0
1434189593,0
1434189595,0
1434189597,0
1434189599,0
1434189601,0
1434189603,0
1434189605,1
1434189607,1
1434189609,1
1434189611,1
1434189613,1
1434189615,1
1434189617,1
1434189619,1
1434189621,0
1434189623,0
1434189625,0
1434189627,1
1434189629,1
1434189631,1
1434189633,1
1434189635,1
1434189637,1
1434189639,1
1434189641,0
1434189643,0
1434189645,0
1434189647,1
1434189649,1
1434189651,2
1434189653,2
1434189655,2
1434189657,1
1434189659,1
1434189661,1
1434189663,1
1434189665,2
1434189667,2
1434189669,2
1434189671,0
1434189673,0
1434189675,0
1434189677,1
1434189679,1
1434189681,0
1434189683,0
1434189685,1
1434189687,1
1434189689,1
1434189691,0
1434189693,0
1434189695,0
1434189697,0
1434189699,0
1434189701,1
1434189703,1
1434189705,0
1434189707,0
1434189709,0
1434189711,1
1434189713,1
1434189715,1
1434189717,1
1434189719,1
1434189721,0
1434189723,0
1434189725,0
1434189727,1
1434189729,1
1434189731,1
1434189733,1
1434189735,1
1434189737,2
1434189739,2
1434189741,1
1434189743,1
1434189745,1
1434189747,1
1434189749,1
1434189751,1
1434189753,1
1434189755,1
1434189757,0
1434189759,0
1434189761,1
1434189763,1
