t,value
1434196164,1
1434196166,1
1434196168,1
1434196170,1
1434196172,1
1434196174,1
1434196176,1
1434196178,1
1434196180,1
1434196182,1
1434196184,1
1434196186,1
1434196188,1
1434196190,1
1434196192,1
1434196194,1
1434196196,1
1434196198,1
1434196200,1
1434196202,1
1434196204,1
1434196206,1
1434196208,1
1434196210,1
1434196212,1
1434196214,1
1434196216,1
1434196218,1
1434196220,1
1434196222,1
1434196224,1
1434196226,1
1434196228,1
1434196230,1
1434196232,1
1434196234,1
1434196236,1
1434196238,1
1434196240,1
1434196242,1
1434196244,1
1434196246,1
1434196248,0
1434196250,0
1434196252,0
1434196254,0
1434196256,0
1434196258,0
1434196260,0
1434196262,0
1434196264,0
1434196266,0
1434196268,0
1434196270,0
1434196272,0
1434196274,0
1434196276,0
1434196278,0
1434196280,0
1434196282,0
1434196284,0
1434196286,0
1434196288,0
1434196290,0
1434196292,0
1434196294,0
1434196296,0
1434196298,0
1434196300,0
1434196302,0
1434196304,0
1434196306,0
1434196308,0
1434196310,0
1434196312,0
1434196314,0
1434196316,0
1434196318,0
1434196320,0
1434196322,0
1434196324,0
1434196326,0
1434196328,0
1434196330,0
1434196332,0
1434196334,0
1434196336,0
1434196338,0
1434196340,0
1434196342,0
1434196344,0
1434196346,0
1434196348,0
1434196350,0
1434196352,0
1434196354,0
1434196356,0
1434196358,0
1434196360,0
1434196362,0
1434196364,0
1434196366,0
1434196368,0
1434196370,0
1434196372,0
1434196374,0
1434196376,0
1434196378,0
1434196380,0
1434196382,0
1434196384,0
1434196386,0
1434196388,0
1434196390,0
1434196392,0
1434196394,0
1434196396,0
1434196398,0
1434196400,0
1434196402,0
1434196404,0
1434196406,0
1434196408,0
1434196410,0
1434196412,0
1434196414,0
1434196416,0
1434196418,0
1434196420,0
1434196422,0
1434196424,0
1434196426,0
1434196428,0
1434196430,0
1434196432,0
1434196434,0
1434196436,0
