t,value
1434195855,-1
1434195857,-1
1434195859,-1
1434195861,1434195860069
1434195863,1434195860069
1434195865,1434195865014
1434195867,1434195865014
1434195869,1434195865014
1434195871,1434195870013
1434195873,1434195870013
1434195875,1434195875010
1434195877,1434195875010
1434195879,1434195875010
1434195881,1434195880012
1434195883,1434195880012
1434195885,1434195885016
1434195887,1434195885016
1434195889,1434195885016
1434195891,1434195890011
1434195893,1434195890011
1434195895,1434195895012
1434195897,1434195895012
1434195899,1434195895012
1434195901,1434195900012
1434195903,1434195900012
1434195905,1434195905010
1434195907,1434195905010
1434195909,1434195905010
1434195911,1434195910011
1434195913,1434195910011
1434195915,1434195915012
1434195917,1434195915012
1434195919,1434195915012
1434195921,1434195920009
1434195923,1434195920009
1434195925,1434195925010
1434195927,1434195925010
1434195929,1434195925010
1434195931,1434195930008
1434195933,1434195930008
1434195935,1434195935007
1434195937,1434195935007
1434195939,1434195935007
1434195941,1434195940010
1434195943,1434195940010
1434195945,1434195945009
1434195947,1434195945009
1434195949,1434195945009
1434195951,1434195950009
1434195953,1434195950009
1434195955,1434195955010
1434195957,1434195955010
1434195959,1434195955010
1434195961,1434195955010
1434195963,1434195955010
1434195965,1434195955010
1434195967,1434195955010
1434195969,1434195960012
1434195971,1434195970006
1434195973,1434195970006
1434195975,1434195970006
1434195977,1434195975006
1434195979,1434195975006
1434195981,1434195980008
1434195983,1434195980008
1434195985,1434195980008
1434195987,1434195985009
1434195989,1434195985009
1434195991,1434195990009
1434195993,1434195990009
1434195995,1434195990009
1434195997,1434195995008
1434195999,1434195995008
1434196001,1434196000011
1434196003,1434196000011
1434196005,1434196000011
1434196007,1434196005009
1434196009,1434196005009
1434196011,1434196010008
1434196013,1434196010008
1434196015,1434196010008
1434196017,1434196015009
1434196019,1434196015009
1434196021,1434196020006
1434196023,1434196020006
1434196025,1434196020006
1434196027,1434196025007
1434196029,1434196025007
1434196031,1434196030009
1434196033,1434196030009
1434196035,1434196030009
1434196037,1434196035007
1434196039,1434196035007
1434196041,1434196040008
1434196043,1434196040008
1434196045,1434196040008
1434196047,1434196045006
1434196049,1434196045006
1434196051,1434196050005
1434196053,1434196050005
1434196055,1434196050005
1434196057,1434196055007
1434196059,1434196055007
1434196061,1434196060009
1434196063,1434196060009
1434196065,1434196065006
1434196067,1434196065006
1434196069,1434196065006
1434196071,1434196070008
1434196073,1434196070008
1434196075,1434196070008
1434196077,1434196075006
1434196079,1434196075006
1434196081,1434196080009
1434196083,1434196080009
1434196085,1434196085005
1434196087,1434196085005
1434196089,1434196085005
1434196091,1434196090009
1434196093,1434196090009
1434196095,1434196090009
1434196097,1434196095005
1434196099,1434196095005
1434196101,1434196100008
1434196103,1434196100008
1434196105,1434196100008
1434196107,1434196105006
1434196109,1434196105006
1434196111,1434196110005
1434196113,1434196110005
1434196115,1434196110005
