t,value
1434194906,0.9979853630065918
1434194908,0.9979853630065918
1434194910,0.9979853630065918
1434194912,0.9979853630065918
1434194914,0.9979853630065918
1434194916,0.9998011589050293
1434194918,0.9998011589050293
1434194920,0.9998011589050293
1434194922,0.9998011589050293
1434194924,0.9998011589050293
1434194926,0.9998011589050293
1434194928,0.9998011589050293
1434194930,0.9998011589050293
1434194932,0.9998011589050293
1434194934,0.9998011589050293
1434194936,0.9998011589050293
1434194938,0.9998011589050293
1434194940,0.9998011589050293
1434194942,0.9998011589050293
1434194944,0.9998011589050293
1434194946,0.9998011589050293
1434194948,0.9998011589050293
1434194950,0.9998011589050293
1434194952,0.9998011589050293
1434194954,0.9998011589050293
1434194956,0.9998011589050293
1434194958,0.9998011589050293
1434194960,0.9998011589050293
1434194962,0.9998011589050293
1434194964,0.9998011589050293
1434194966,0.7331767082214355
1434194968,0.7331767082214355
1434194970,0.7331767082214355
1434194972,0.7331767082214355
1434194974,0.7331767082214355
1434194976,0.7331767082214355
1434194978,0.7331767082214355
1434194980,0.7331767082214355
1434194982,0.7331767082214355
1434194984,0.7331767082214355
1434194986,0.5962314605712891
1434194988,0.5962314605712891
1434194990,0.5962314605712891
1434194992,0.5962314605712891
1434194994,0.5962314605712891
1434194996,0.5962314605712891
1434194998,0.5962314605712891
1434195000,0.5962314605712891
1434195002,0.5962314605712891
1434195004,0.5962314605712891
1434195006,0.9886299133300781
1434195008,0.9886299133300781
1434195010,0.9886299133300781
1434195012,0.9886299133300781
1434195014,0.9886299133300781
1434195016,0.9886299133300781
1434195018,0.9886299133300781
1434195020,0.9886299133300781
1434195022,0.9886299133300781
1434195024,0.9886299133300781
1434195026,0.4511072495404412
1434195028,0.4511072495404412
1434195030,0.4511072495404412
1434195032,0.4511072495404412
1434195034,0.4511072495404412
1434195036,0.4511072495404412
1434195038,0.4511072495404412
1434195040,0.4511072495404412
1434195042,0.9542705829326923
1434195044,0.9542705829326923
1434195046,0.9542705829326923
1434195048,0.9542705829326923
1434195050,0.9542705829326923
1434195052,0.9542705829326923
1434195054,0.9542705829326923
1434195056,0.9542705829326923
1434195058,0.9542705829326923
1434195060,0.9542705829326923
1434195062,0.05177757956764915
1434195064,0.05177757956764915
1434195066,0.05177757956764915
1434195068,0.05177757956764915
1434195070,0.05177757956764915
1434195072,0.05177757956764915
1434195074,0.05177757956764915
1434195076,0.05177757956764915
1434195078,0.05177757956764915
1434195080,0.6875
1434195082,0.6875
1434195084,0.6875
1434195086,0.6875
1434195088,0.6875
1434195090,0.6875
1434195092,0.6875
1434195094,0.6875
1434195096,0.6875
1434195098,0.6875
1434195100,0.017663043478260868
1434195102,0.017663043478260868
1434195104,0.017663043478260868
1434195106,0.017663043478260868
1434195108,0.017663043478260868
1434195110,0.017663043478260868
1434195112,0.017663043478260868
1434195114,0.017663043478260868
1434195116,0.04232688572095788
1434195118,0.04232688572095788
1434195120,0.04232688572095788
1434195122,0.04232688572095788
1434195124,0.04232688572095788
1434195126,0.04232688572095788
1434195128,0.04232688572095788
1434195130,0.04232688572095788
1434195132,0.04232688572095788
1434195134,0.04232688572095788
1434195136,0.01919354449261676
1434195138,0.01919354449261676
1434195140,0.01919354449261676
1434195142,0.01919354449261676
1434195144,0.01919354449261676
1434195146,0.01919354449261676
1434195148,0.01919354449261676
1434195150,0.01919354449261676
1434195152,0.015277777777777777
1434195154,0.015277777777777777
1434195156,0.015277777777777777
1434195158,0.015277777777777777
1434195160,0.015277777777777777
1434195162,0.015277777777777777
1434195164,0.015277777777777777
1434195166,0.015277777777777777
1434195168,0.015277777777777777
1434195170,0.015277777777777777
1434195172,0.031063079833984375
1434195174,0.031063079833984375
1434195176,0.031063079833984375
1434195178,0.031063079833984375
1434195180,0.031063079833984375
1434195182,0.031063079833984375
1434195184,0.031063079833984375
1434195186,0.031063079833984375
1434195188,0.031063079833984375
1434195190,0.018168604651162792
1434195192,0.018168604651162792
1434195194,0.018168604651162792
1434195196,0.018168604651162792
1434195198,0.018168604651162792
1434195200,0.018168604651162792
1434195202,0.018168604651162792
1434195204,0.018168604651162792
1434195206,0.01732001247176205
1434195208,0.01732001247176205
1434195210,0.01732001247176205
1434195212,0.01732001247176205
1434195214,0.01732001247176205
1434195216,0.01732001247176205
1434195218,0.01732001247176205
1434195220,0.01732001247176205
1434195222,0.01732001247176205
1434195224,0.01732001247176205
1434195226,0.05
1434195228,0.05
1434195230,0.05
1434195232,0.05
1434195234,0.05
1434195236,0.05
1434195238,0.05
1434195240,0.05
1434195242,0.05
1434195244,0.05
1434195246,0.043547780890213814
1434195248,0.043547780890213814
1434195250,0.043547780890213814
1434195252,0.043547780890213814
1434195254,0.043547780890213814
1434195256,0.043547780890213814
1434195258,0.043547780890213814
1434195260,0.043547780890213814
1434195262,0.043547780890213814
1434195264,0.043547780890213814
1434195266,0.05592576118364726
1434195268,0.05592576118364726
1434195270,0.05592576118364726
1434195272,0.05592576118364726
1434195274,0.05592576118364726
1434195276,0.05592576118364726
1434195278,0.05592576118364726
1434195280,0.05592576118364726
1434195282,0.05592576118364726
1434195284,0.05592576118364726
1434195286,0.06440933890964674
1434195288,0.06440933890964674
1434195290,0.06440933890964674
1434195292,0.06440933890964674
1434195294,0.06440933890964674
1434195296,0.06440933890964674
1434195298,0.06440933890964674
1434195300,0.06440933890964674
1434195302,0.06440933890964674
1434195304,0.06440933890964674
1434195306,0.02788555438701923
1434195308,0.02788555438701923
1434195310,0.02788555438701923
1434195312,0.02788555438701923
1434195314,0.02788555438701923
1434195316,0.02788555438701923
1434195318,0.02788555438701923
