t,value
1434196026,1.52587890625E-5
1434196028,0.019304245710372925
1434196030,0.019304245710372925
1434196032,0.019304245710372925
1434196034,0.019304245710372925
1434196036,0.019304245710372925
1434196038,0.019304245710372925
1434196040,0.019304245710372925
1434196042,0.019304245710372925
1434196044,0.019304245710372925
1434196046,0.019304245710372925
1434196048,0.019304245710372925
1434196050,0.019304245710372925
1434196052,0.019304245710372925
1434196054,0.019304245710372925
1434196056,0.019304245710372925
1434196058,0.019304245710372925
1434196060,0.019304245710372925
1434196062,0.019304245710372925
1434196064,0.019304245710372925
1434196066,0.019304245710372925
1434196068,0.019304245710372925
1434196070,0.019304245710372925
1434196072,0.019304245710372925
1434196074,0.019304245710372925
1434196076,0.019304245710372925
1434196078,0.019304245710372925
1434196080,0.019304245710372925
1434196082,0.019304245710372925
1434196084,0.019304245710372925
1434196086,0.019304245710372925
1434196088,0.019304245710372925
1434196090,0.019304245710372925
1434196092,0.019304245710372925
1434196094,0.019304245710372925
1434196096,0.019304245710372925
1434196098,0.019304245710372925
1434196100,0.019304245710372925
1434196102,0.019304245710372925
1434196104,0.019304245710372925
1434196106,0.019304245710372925
1434196108,0.019304245710372925
1434196110,0.019304245710372925
1434196112,0.019304245710372925
1434196114,0.019304245710372925
1434196116,0.019304245710372925
1434196118,0.019304245710372925
1434196120,0.019304245710372925
1434196122,0.019304245710372925
