t,value
1434197385,184549376
1434197387,184549376
1434197389,184549376
1434197391,184549376
1434197393,184549376
1434197395,184549376
1434197397,184549376
1434197399,184549376
1434197401,184549376
1434197403,184549376
1434197405,184549376
1434197407,184549376
1434197409,184549376
1434197411,184549376
1434197413,184549376
1434197415,184549376
1434197417,184549376
1434197419,184549376
1434197421,184549376
1434197423,184549376
1434197425,184549376
1434197427,184549376
1434197429,184549376
1434197431,184549376
1434197433,184549376
1434197435,184549376
1434197437,184549376
1434197439,184549376
1434197441,184549376
1434197443,184549376
1434197445,184549376
1434197447,184549376
1434197449,184549376
1434197451,184549376
1434197453,184549376
1434197455,184549376
1434197457,184549376
1434197459,184549376
1434197461,184549376
1434197463,184549376
1434197465,184549376
1434197467,184549376
1434197469,184549376
1434197471,184549376
1434197473,184549376
1434197475,184549376
1434197477,184549376
1434197479,184549376
1434197481,184549376
1434197483,184549376
1434197485,184549376
1434197487,184549376
1434197489,184549376
1434197491,184549376
1434197493,184549376
1434197495,184549376
1434197497,184549376
1434197499,184549376
1434197501,184549376
1434197503,184549376
1434197505,184549376
1434197507,184549376
1434197509,184549376
1434197511,184549376
1434197513,184549376
1434197515,184549376
1434197517,184549376
1434197519,184549376
1434197521,184549376
1434197523,184549376
1434197525,184549376
1434197527,184549376
1434197529,184549376
1434197531,184549376
1434197533,184549376
1434197535,184549376
1434197537,184549376
1434197539,184549376
1434197541,184549376
1434197543,184549376
1434197545,184549376
1434197547,184549376
1434197549,184549376
1434197551,184549376
1434197553,184549376
1434197555,184549376
1434197557,184549376
1434197559,184549376
1434197561,184549376
1434197563,184549376
1434197565,184549376
1434197567,184549376
1434197569,184549376
1434197571,184549376
1434197573,184549376
1434197575,184549376
1434197577,184549376
1434197579,184549376
1434197581,184549376
1434197583,184549376
1434197585,184549376
1434197587,184549376
1434197589,184549376
1434197591,184549376
1434197593,184549376
1434197595,184549376
1434197597,184549376
1434197599,184549376
1434197601,184549376
1434197603,184549376
1434197605,184549376
1434197607,184549376
1434197609,184549376
1434197611,184549376
1434197613,184549376
1434197615,184549376
1434197617,184549376
1434197619,184549376
1434197621,184549376
1434197623,184549376
1434197625,184549376
1434197627,184549376
1434197629,184549376
1434197631,184549376
1434197633,184549376
1434197635,184549376
1434197637,184549376
1434197639,184549376
1434197641,184549376
1434197643,184549376
1434197645,184549376
1434197647,184549376
1434197649,184549376
1434197651,184549376
1434197653,184549376
1434197655,184549376
1434197657,184549376
1434197659,184549376
1434197661,184549376
1434197663,184549376
1434197665,184549376
1434197667,184549376
1434197669,184549376
1434197671,184549376
1434197673,184549376
1434197675,184549376
1434197677,184549376
1434197679,184549376
1434197681,184549376
1434197683,184549376
1434197685,184549376
1434197687,184549376
1434197689,184549376
1434197691,184549376
1434197693,184549376
1434197695,184549376
1434197697,184549376
1434197699,184549376
1434197701,184549376
1434197703,184549376
1434197705,184549376
1434197707,184549376
1434197709,184549376
1434197711,184549376
1434197713,184549376
1434197715,184549376
1434197717,184549376
1434197719,184549376
1434197721,184549376
1434197723,184549376
1434197725,184549376
1434197727,184549376
1434197729,184549376
1434197731,184549376
1434197733,184549376
1434197735,184549376
1434197737,184549376
1434197739,184549376
1434197741,184549376
1434197743,184549376
1434197745,184549376
1434197747,184549376
